corral_id,nombre,largo_m,ancho_m,fuente
1,Corral 1,30,8,Visita de campo al Santuario; medida confirmada
2,Corral 2,40,11,"Visita de campo al Santuario; medida aproximada (35-40 m de largo); pendiente de verificar"
